Input_File	Analysis_File	Check
01a_AR_CH	01a_AR_CH	Match
01a_AR_CU	01a_AR_CU	Match
01a_AR_PP	01a_AR_PP	Match
01a_AR_ST	01a_AR_ST	Match
01a_AR_TL	01a_AR_TL	Match
01a_CH_CU	01a_CH_CU	Match
01a_CH_TL	01a_CH_TL	Match
01a_PP_CH	01a_PP_CH	Match
01a_PP_CU	01a_PP_CU	Match
01a_PP_TL	01a_PP_TL	Match
01a_ST_CH	01a_ST_CH	Match
01a_ST_CU	01a_ST_CU	Match
01a_ST_PP	01a_ST_PP	Match
01a_ST_TL	01a_ST_TL	Match
01a_TL_CU	01a_TL_CU	Match
01b_AR_CH	01b_AR_CH	Match
01b_AR_CU	01b_AR_CU	Match
01b_AR_PP	01b_AR_PP	Match
01b_AR_ST	01b_AR_ST	Match
01b_AR_TL	01b_AR_TL	Match
01b_CH_CU	01b_CH_CU	Match
01b_CH_TL	01b_CH_TL	Match
01b_PP_CH	01b_PP_CH	Match
01b_PP_CU	01b_PP_CU	Match
01b_PP_TL	01b_PP_TL	Match
01b_ST_CH	01b_ST_CH	Match
01b_ST_CU	01b_ST_CU	Match
01b_ST_PP	01b_ST_PP	Match
01b_ST_TL	01b_ST_TL	Match
01b_TL_CU	01b_TL_CU	Match
01c_AR_CH	01c_AR_CH	Match
01c_AR_CU	01c_AR_CU	Match
01c_AR_PP	01c_AR_PP	Match
01c_AR_ST	01c_AR_ST	Match
01c_AR_TL	01c_AR_TL	Match
01c_CH_CU	01c_CH_CU	Match
01c_CH_TL	01c_CH_TL	Match
01c_PP_CH	01c_PP_CH	Match
01c_PP_CU	01c_PP_CU	Match
01c_PP_TL	01c_PP_TL	Match
01c_ST_CH	01c_ST_CH	Match
01c_ST_CU	01c_ST_CU	Match
01c_ST_PP	01c_ST_PP	Match
01c_ST_TL	01c_ST_TL	Match
01c_TL_CU	01c_TL_CU	Match
01d_AR_CH	01d_AR_CH	Match
01d_AR_CU	01d_AR_CU	Match
01d_AR_PP	01d_AR_PP	Match
01d_AR_ST	01d_AR_ST	Match
01d_AR_TL	01d_AR_TL	Match
01d_CH_CU	01d_CH_CU	Match
01d_CH_TL	01d_CH_TL	Match
01d_PP_CH	01d_PP_CH	Match
01d_PP_CU	01d_PP_CU	Match
01d_PP_TL	01d_PP_TL	Match
01d_ST_CH	01d_ST_CH	Match
01d_ST_CU	01d_ST_CU	Match
01d_ST_PP	01d_ST_PP	Match
01d_ST_TL	01d_ST_TL	Match
01d_TL_CU	01d_TL_CU	Match
01e_AR_CH	01e_AR_CH	Match
01e_AR_CU	01e_AR_CU	Match
01e_AR_PP	01e_AR_PP	Match
01e_AR_ST	01e_AR_ST	Match
01e_AR_TL	01e_AR_TL	Match
01e_CH_CU	01e_CH_CU	Match
01e_CH_TL	01e_CH_TL	Match
01e_PP_CH	01e_PP_CH	Match
01e_PP_CU	01e_PP_CU	Match
01e_PP_TL	01e_PP_TL	Match
01e_ST_CH	01e_ST_CH	Match
01e_ST_CU	01e_ST_CU	Match
01e_ST_PP	01e_ST_PP	Match
01e_ST_TL	01e_ST_TL	Match
01e_TL_CU	01e_TL_CU	Match
01f_AR_CH	01f_AR_CH	Match
01f_AR_CU	01f_AR_CU	Match
01f_AR_PP	01f_AR_PP	Match
01f_AR_ST	01f_AR_ST	Match
01f_AR_TL	01f_AR_TL	Match
01f_CH_CU	01f_CH_CU	Match
01f_CH_TL	01f_CH_TL	Match
01f_PP_CH	01f_PP_CH	Match
01f_PP_CU	01f_PP_CU	Match
01f_PP_TL	01f_PP_TL	Match
01f_ST_CH	01f_ST_CH	Match
01f_ST_CU	01f_ST_CU	Match
01f_ST_PP	01f_ST_PP	Match
01f_ST_TL	01f_ST_TL	Match
01f_TL_CU	01f_TL_CU	Match
01g_AR_CH	01g_AR_CH	Match
01g_AR_CU	01g_AR_CU	Match
01g_AR_PP	01g_AR_PP	Match
01g_AR_ST	01g_AR_ST	Match
01g_AR_TL	01g_AR_TL	Match
01g_CH_CU	01g_CH_CU	Match
01g_CH_TL	01g_CH_TL	Match
01g_PP_CH	01g_PP_CH	Match
01g_PP_CU	01g_PP_CU	Match
01g_PP_TL	01g_PP_TL	Match
01g_ST_CH	01g_ST_CH	Match
01g_ST_CU	01g_ST_CU	Match
01g_ST_PP	01g_ST_PP	Match
01g_ST_TL	01g_ST_TL	Match
01g_TL_CU	01g_TL_CU	Match
