"PP_SReg","PP_Beg","PP_SReg2","PP_End","PP_SReg3","PP_Ori"
"01a","1","01a","250000","01a","1"
"01b","250001","01b","500000","01b","1"
"01c","500001","01c","750000","01c","1"
"01d","750001","01d","1000000","01d","1"
"01e","1000001","01e","1250000","01e","1"
"01f","1250001","01f","1500000","01f","1"
"01g","1500001","01g","1768582","01g","1"
"02a","1768583","02a","2000000","02a","1"
"02b","2000001","02b","2250000","02b","1"
"02c","2250001","02c","2504966","02c","1"
"07a","2504967","07a","2841286","07a","1"
"07b","2841287","07b","3091286","07b","1"
"07c","3091287","07c","3341286","07c","1"
"07d","3341287","07d","3591286","07d","1"
"07e","3591287","07e","3967460","07e","1"
"08a","3967461","08a","4341286","08a","1"
"08b","4341287","08b","4591286","08b","1"
"08c","4591287","08c","4841286","08c","1"
"08d","4841287","08d","5091286","08d","1"
"08e","5091287","08e","5341286","08e","1"
"08f","5341287","08f","5591286","08f","1"
"08g","5591287","08g","5841286","08g","1"
"08h","5841287","08h","6091286","08h","1"
"08i","6091287","08i","6341286","08i","1"
"08j","6341287","08j","6591286","08j","1"
"08k","6591287","08k","6841286","08k","1"
"08l","6841287","08l","7281611","08l","1"
"09a","7281612","09a","7591286","09a","1"
"09b","7591287","09b","7841286","09b","1"
"09c","7841287","09c","8173667","09c","1"
"05c","8173668","05c","8577831","05c","-1"
"05b","8577832","05b","8827831","05b","-1"
"05a","8827832","05a","9050608","05a","-1"
"04e","9050609","04e","9327831","04e","-1"
"04d","9327832","04d","9577831","04d","-1"
"04c","9577832","04c","9827831","04c","-1"
"04b","9827832","04b","10077831","04b","-1"
"04a","10077832","04a","10259229","04a","-1"
"03q","10259230","03q","10577831","03q","-1"
"03p","10577832","03p","10827831","03p","-1"
"03o","10827832","03o","11077831","03o","-1"
"03n","11077832","03n","11327831","03n","-1"
"03m","11327832","03m","11577831","03m","-1"
"03l","11577832","03l","11827831","03l","-1"
"03k","11827832","03k","12077831","03k","-1"
"03j","12077832","03j","12327831","03j","-1"
"03i","12327832","03i","12577831","03i","-1"
"03h","12577832","03h","12827831","03h","-1"
"03g","12827832","03g","13077831","03g","-1"
"03f","13077832","03f","13327831","03f","-1"
"03e","13327832","03e","13577831","03e","-1"
"03d","13577832","03d","13827831","03d","-1"
"03c","13827832","03c","14077831","03c","-1"
"03b","14077832","03b","14327831","03b","-1"
"03a","14327832","03a","14572865","03a","-1"
"06a","14572866","06a","14832381","06a","-1"
"10a","14832382","10a","15250000","10a","1"
"10b","15250001","10b","15656351","10b","1"
"11a","15656352","11a","16000000","11a","1"
"11b","16000001","11b","16250000","11b","1"
"11c","16250001","11c","16500000","11c","1"
"11d","16500001","11d","16750000","11d","1"
"11e","16750001","11e","17151447","11e","1"
"12a","17151448","12a","17545814","12a","1"
"13a","17545815","13a","17728080","13a","1"
"14a","17728081","14a","18000000","14a","1"
"14b","18000001","14b","18250000","14b","1"
"14c","18250001","14c","18500000","14c","1"
"14d","18500001","14d","18750000","14d","1"
"14e","18750001","14e","19000000","14e","1"
"14f","19000001","14f","19250000","14f","1"
"14g","19250001","14g","19500000","14g","1"
"14h","19500001","14h","19787792","14h","1"
